BGG_ID,DESIGNER_ID,DESIGNER_NAME,DESIGNER_POB_CITY,DESIGNER_POB_ST-PROV,DESIGNER_POB_CTRY
144733,2748,Helmut Ohley,Muenchen,,DE
144733,1828,"Leonhard ""Lonny"" Orgler",Wiener Neudorf,,AT
4098,366,John Bohrer,,,
43015,1018,Andreas Steding,Goettingen,,DE
198928,41726,Jesús Torres Castro,Cordoba,,ES
175155,71982,Samuel Bailey,Minneapolis,MN,US
175155,64445,James Kniffen,Minneapolis,MN,US
196340,39436,Hisashi Hayashi,,,JP
172287,57793,Ole Steiness,Copenhagen,,DK
240980,105325,Steven Medway,Sydney,,AU
227935,74031,Tim Eisner,Portland,OR,US
227935,101831,Ben Eisner,Portland,OR,US
227935,81505,Ian Moss,Ohio,Columbus,US
266524,107084,Henry Audubon,Philadelphia,PA,US
132531,11555,Wei-Hwa Huang,Mountain View,CA,US
281259,94322,Frank West,Bristol,,UK
337627,5864,Nigel Buckle,London,,UK
220877,6940,Inka Brand,Cologne,,DE
220877,6941,Markus Brand,Cologne,,DE
118048,57305,Andreas Steiger,Stuttgart,,DE
263918,109218,Jordy Adan,Curitiba,,BR
304783,103500,Bobby Hill,Wellington,,NZ
147020,4113,Robert Dougherty,Framingham,MA,US
147020,4059,Darwin Kastle,Maynard,MA,US
161970,75718,Matúš Kotry,Brno,,CZ
274364,34699,Matthias Cramer,Cologne,,DE
390092,9,Alan R. Moon,Southampton,,UK
189932,27343,Andrew Veen,Seattle,WA,US
271324,66017,Frédéric Guérard,Lille,,FR
268864,90410,Trevor Benjamin,,,CA
268864,67071,David Thompson (I),Dayton,OH,US
463,146871,David Iezzi,Seattle,WA,US
127023,10395,Jacques Bariot,,,FR
127023,10393,Guillaume Montiage,,,FR
34635,928,Bernd Brunnhofer,Graz,,AT
2511,1221,Raymond Edwards,San Francisco,CA,US
2511,1220,Suzanne Goldberg,San Francisco,CA,US
2511,1219,Gary Grady,San Francisco,CA,US
233398,3526,Carl de Visser,Wellington,,NZ
233398,9733,Jarratt Gray,Wellington,,NZ
328871,59662,Sydney Engelstein,Bridgewater,NJ,US
325494,121682,Andrzej Betkiewicz,Wroclaw,,PL
325494,113979,Paweł Samborski,Wroclaw,,PL
146652,10489,Ben Cichoski,Providence,RI,US
146652,4372,Daniel Mandel,Providence,RI,US
148949,381,Rüdiger Dorn,Nuremberg,,DE
103885,4786,Jay Little,Minneapolis,MN,US
329082,133238,Daniel Piechnick,Adelaide,,AU
294484,4083,Justin D. Jacobson,Gainesville,FL,US
294484,28008,Chris Leder,Asheville,NC,US
294484,121697,Kevin Rodgers,,,US
82222,42141,Cody Miller,Lincoln City,OR,US
233867,94040,Benoit Turpin,Toulouse,,FR
54043,6736,Sébastien Pauchon,Vevey,Vaud,
350184,85519,Maxime Tardif,Quebec City,QC,CA
258779,98336,Ryan Lambert,Minneapolis,MN,US
258779,77564,Adam Rehberg,Minneapolis,MN,US
339789,105241,Alexis Allard,Portet-sur-Garonne,,FR
414317,95323,Johan Benvenuto,,,FR
283355,34,Bill Eberle,Centerville,MA,US
283355,35,Jack Kittredge,Centerville,MA,US
283355,36,Peter Olotka,Centerville,MA,US
188920,5143,Michał Oracz,Wroclaw,,PL
188920,87430,Jakub Wiśniewski,Wroclaw,,PL
10630,25,Richard Borg,Portland,CT,US
271896,50438,Tony Fanchi,Minneapolis,MN,US
104162,11413,Daniel Clark (I),Minneapolis,MN,US
104162,50880,Adam Sadler,Noblesville,IN,US
104162,2336,Kevin Wilson,Minneapolis,MN,US
39463,10774,Bill Norton,Centerville,MA,US
25021,7535,Matt Calkins,McLean,VA,US
